CMDLINE .\SDL1.exe
MEM 58.082031 1721737202.2437
MEM 58.082031 1721737202.3440
MEM 58.082031 1721737202.4445
MEM 58.082031 1721737202.5447
MEM 58.082031 1721737202.6453
MEM 58.082031 1721737202.7457
MEM 58.082031 1721737202.8462
MEM 58.082031 1721737202.9466
MEM 58.082031 1721737203.0470
MEM 58.082031 1721737203.1474
MEM 58.082031 1721737203.2479
MEM 58.082031 1721737203.3483
MEM 58.082031 1721737203.4487
MEM 58.082031 1721737203.5492
MEM 58.082031 1721737203.6496
MEM 58.082031 1721737203.7501
MEM 58.082031 1721737203.8504
MEM 58.082031 1721737203.9510
MEM 58.082031 1721737204.0513
MEM 58.082031 1721737204.1515
MEM 58.082031 1721737204.2518
MEM 58.082031 1721737204.3523
MEM 58.082031 1721737204.4527
MEM 58.082031 1721737204.5531
MEM 58.082031 1721737204.6537
MEM 58.082031 1721737204.7543
MEM 58.082031 1721737204.8547
MEM 58.082031 1721737204.9550
MEM 58.082031 1721737205.0556
MEM 58.082031 1721737205.1558
MEM 58.082031 1721737205.2562
MEM 58.082031 1721737205.3567
MEM 58.082031 1721737205.4573
MEM 58.082031 1721737205.5580
MEM 58.082031 1721737205.6586
MEM 58.082031 1721737205.7590
MEM 58.082031 1721737205.8593
MEM 58.082031 1721737205.9600
MEM 58.082031 1721737206.0603
MEM 58.082031 1721737206.1610
MEM 58.082031 1721737206.2615
MEM 58.082031 1721737206.3619
MEM 58.082031 1721737206.4623
MEM 58.082031 1721737206.5629
MEM 58.082031 1721737206.6636
MEM 58.082031 1721737206.7642
MEM 58.082031 1721737206.8647
MEM 58.082031 1721737206.9650
MEM 58.082031 1721737207.0654
MEM 58.082031 1721737207.1656
MEM 58.082031 1721737207.2662
MEM 58.082031 1721737207.3667
MEM 58.082031 1721737207.4671
MEM 58.082031 1721737207.5673
MEM 58.082031 1721737207.6680
MEM 58.082031 1721737207.7685
MEM 58.082031 1721737207.8691
MEM 58.082031 1721737207.9697
MEM 58.082031 1721737208.0701
MEM 58.082031 1721737208.1706
MEM 58.082031 1721737208.2709
MEM 58.082031 1721737208.3713
MEM 58.082031 1721737208.4719
MEM 58.082031 1721737208.5722
MEM 58.082031 1721737208.6728
MEM 58.082031 1721737208.7735
MEM 58.082031 1721737208.8738
MEM 58.082031 1721737208.9743
MEM 58.082031 1721737209.0745
MEM 58.082031 1721737209.1750
MEM 58.082031 1721737209.2753
MEM 58.082031 1721737209.3758
MEM 58.082031 1721737209.4762
MEM 58.082031 1721737209.5766
MEM 58.082031 1721737209.6772
MEM 58.082031 1721737209.7775
MEM 58.082031 1721737209.8779
MEM 58.082031 1721737209.9782
MEM 58.082031 1721737210.0786
MEM 58.082031 1721737210.1790
MEM 58.082031 1721737210.2796
MEM 58.082031 1721737210.3798
MEM 58.082031 1721737210.4802
MEM 58.082031 1721737210.5806
MEM 58.082031 1721737210.6812
MEM 58.082031 1721737210.7818
MEM 58.082031 1721737210.8822
MEM 58.082031 1721737210.9827
MEM 58.082031 1721737211.0830
MEM 58.082031 1721737211.1832
MEM 58.082031 1721737211.2835
MEM 58.082031 1721737211.3840
MEM 58.082031 1721737211.4845
MEM 58.082031 1721737211.5849
MEM 58.082031 1721737211.6854
MEM 58.082031 1721737211.7857
MEM 58.082031 1721737211.8863
MEM 58.082031 1721737211.9869
MEM 58.082031 1721737212.0875
MEM 58.082031 1721737212.1878
MEM 58.082031 1721737212.2882
MEM 58.082031 1721737212.3886
MEM 58.082031 1721737212.4893
MEM 58.082031 1721737212.5897
MEM 58.082031 1721737212.6903
MEM 58.082031 1721737212.7908
MEM 58.082031 1721737212.8914
MEM 58.082031 1721737212.9920
MEM 58.082031 1721737213.0926
MEM 58.082031 1721737213.1929
MEM 58.082031 1721737213.2932
MEM 58.082031 1721737213.3934
MEM 58.082031 1721737213.4939
MEM 58.082031 1721737213.5942
MEM 58.031250 1721737213.6944
MEM 55.636719 1721737213.7947
MEM 55.730469 1721737213.8953
MEM 55.824219 1721737213.9958
MEM 55.855469 1721737214.0961
MEM 55.855469 1721737214.1963
MEM 55.855469 1721737214.2967
MEM 55.855469 1721737214.3970
MEM 55.855469 1721737214.4975
MEM 55.855469 1721737214.5981
MEM 55.855469 1721737214.6986
MEM 55.855469 1721737214.7989
MEM 55.855469 1721737214.8996
MEM 55.855469 1721737215.0001
MEM 55.859375 1721737215.1003
MEM 55.859375 1721737215.2009
MEM 55.859375 1721737215.3013
MEM 55.859375 1721737215.4020
MEM 55.855469 1721737215.5025
MEM 55.855469 1721737215.6031
MEM 55.855469 1721737215.7033
MEM 55.855469 1721737215.8036
MEM 55.855469 1721737215.9039
MEM 55.855469 1721737216.0044
MEM 55.855469 1721737216.1047
MEM 55.855469 1721737216.2054
MEM 55.855469 1721737216.3058
MEM 55.855469 1721737216.4062
MEM 55.855469 1721737216.5069
MEM 55.855469 1721737216.6075
MEM 55.855469 1721737216.7079
MEM 34.730469 1721737216.8081
